MANDT;MATNR;MTART;MEINS;BRGEW;NTGEW;GEWEI
400;MDQ_ADP__0037;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO13;HALB;ST;2.500;2.500;G
400;807;HALB;EA;0.000;0.000;
400;MDQ_ADP__0038;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO14;HALB;ST;2.500;2.500;G
400;808;HALB;EA;0.000;0.000;
400;MDQ_ADP__0039;HAWA;ST;4.300.000;4.200.000;KG
400;809;HALB;EA;0.000;0.000;
400;MDQ_ADP__0040;HAWA;ST;4.300.000;4.200.000;KG
400;792;HALB;EA;0.000;0.000;
400;786;HALB;EA;0.000;0.000;
400;MDQ_ADP__0041;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO15;HALB;ST;2.500;2.500;G
400;776;HALB;EA;0.000;0.000;
400;MDQ_ADP__0042;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO16;HALB;ST;2.500;2.500;G
400;777;HALB;EA;0.000;0.000;
400;MDQ_ADP__0043;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO17;HALB;ST;2.500;2.500;G
400;778;HALB;EA;0.000;0.000;
400;MDQ_ADP__0044;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO18;HALB;ST;2.500;2.500;G
400;779;HALB;EA;0.000;0.000;
400;MDQ_ADP__0045;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO19;HALB;ST;2.500;2.500;G
400;780;HALB;EA;0.000;0.000;
400;MDQ_ADP__0046;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO2;HALB;ST;2.500;2.500;G
400;781;HALB;EA;0.000;0.000;
400;MDQ_ADP__0047;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO20;HALB;ST;2.500;2.500;G
400;782;HALB;EA;0.000;0.000;
400;MDQ_ADP__0048;HAWA;ST;4.300.000;4.200.000;KG
400;783;HALB;EA;0.000;0.000;
400;CM_DI1-DEMO21;HALB;ST;2.500;2.500;G
400;MDQ_ADP__0049;HAWA;ST;4.300.000;4.200.000;KG
400;784;HALB;EA;0.000;0.000;
400;CM_DI1-DEMO22;HALB;ST;2.500;2.500;G
400;PI-4140;ROH;KG;0.000;0.000;KG
400;768;HALB;EA;0.000;0.000;
400;CM_DI1-DEMO23;HALB;ST;2.500;2.500;G
400;MR585162003;ZFRT;EA;0.400;0.350;KG
400;769;HALB;EA;0.000;0.000;
400;PI-4150;ROH;KG;0.000;0.000;KG
400;CM_DI1-DEMO24;HALB;ST;2.500;2.500;G
400;770;HALB;EA;0.000;0.000;
400;MR585162004;ZFRT;EA;0.400;0.350;KG
400;771;HALB;EA;0.000;0.000;
400;PI-4160;ROH;KG;0.000;0.000;KG
400;MR450201;HAWA;EA;0.200;0.200;KG
400;CM_DI1-DEMO25;HALB;ST;2.500;2.500;G
400;772;HALB;EA;0.000;0.000;
400;MZ-FG-SP04;FERT;EA;0.000;0.000;KG
400;MR516206011;MODE;EA;0.200;0.200;KG
400;773;HALB;EA;0.000;0.000;
400;PREASS_REAR_BUMPER;KMAT;ST;0.000;0.000;
400;MR516206012;MODE;EA;0.200;0.200;KG
400;CM_DI1-DEMO26;HALB;ST;2.500;2.500;G
400;774;HALB;EA;0.000;0.000;
400;PREASS_REARB_BOM;KMAT;ST;0.000;0.000;
400;ML_FG_0003;KMAT;EA;2.200.000;2.000.000;KG
400;753;HALB;EA;0.000;0.000;
400;CM_DI1-DEMO27;HALB;ST;2.500;2.500;G
400;PREASS_REARB_ECM;KMAT;ST;0.000;0.000;
400;MZ-TG-Z019;HAWA;EA;0.000;0.000;KG
400;754;HALB;EA;0.000;0.000;
400;CM_DI1-DEMO28;HALB;ST;2.500;2.500;G
400;MZ-PROC-OF-CH-001;FERT;EA;0.000;1.000;KG
400;ML_SG_033;HALB;EA;0.000;0.000;KG
400;755;HALB;EA;0.000;0.000;
400;CM_DI1-DEMO29;HALB;ST;2.500;2.500;G
400;S4_SPIDER_BOM;KMAT;ST;0.000;0.000;
400;756;HALB;EA;0.000;0.000;
400;ML_SG_032;HALB;EA;0.000;0.000;KG
400;CM_DI1-DEMO3;HALB;ST;2.500;2.500;G
400;502;HALB;EA;0.000;0.000;
400;757;HALB;EA;0.000;0.000;
400;CM_DI1-DEMO30;HALB;ST;2.500;2.500;G
400;ML_SG_031;HALB;EA;0.000;0.000;KG
400;503;HALB;EA;0.000;0.000;
400;758;HALB;EA;0.000;0.000;
400;CM_DI1-DEMO31;HALB;ST;2.500;2.500;G
400;516;HALB;EA;0.000;0.000;
400;759;HALB;EA;0.000;0.000;
400;ME-SSG-10000000593;HALB;EA;0.000;0.000;
400;MR516122016;MODE;EA;0.200;0.200;KG
400;ML_SG_030;HALB;EA;0.000;0.000;KG
400;MZ-PROC-DC-AF-0789;MAT;EA;0.000;1.000;KG
400;CM_DI1-DEMO32;HALB;ST;2.500;2.500;G
400;760;HALB;EA;0.000;0.000;
400;518;HALB;EA;0.000;0.000;
400;ML_SG_029;HALB;EA;0.000;0.000;KG
400;MZ-PROC-CH-AC-C120;MAT;EA;0.000;1.000;KG
400;CM_DI1-DEMO33;HALB;ST;2.500;2.500;G
400;ME-SG-10000000601;HALB;EA;0.000;0.000;
400;761;HALB;EA;0.000;0.000;
400;ML_RM_113;ROH;EA;0.000;0.000;
400;519;HALB;EA;0.000;0.000;
400;MZ-TG-Z018;HAWA;EA;0.000;0.000;KG
400;MZ-PROC-CE-SW-2034;MAT;EA;0.000;1.000;KG
400;MR516122017;MODE;EA;0.200;0.200;KG
400;CM_DI1-DEMO34;HALB;ST;2.500;2.500;G
400;ML_RM_114;ROH;EA;0.000;0.000;
400;762;HALB;EA;0.000;0.000;
400;507;HALB;EA;0.000;0.000;
400;ME-SG-10000000581;HALB;EA;0.000;0.000;
400;MZ-PROC-CE-CS-0411;MAT;EA;0.000;1.000;KG
400;MZ-TG-Z014;HAWA;EA;0.000;0.000;KG
400;CM_DI1-DEMO4;HALB;ST;2.500;2.500;G
400;763;HALB;EA;0.000;0.000;
400;ML_RM_115;ROH;EA;0.000;0.000;
400;508;HALB;EA;0.000;0.000;
400;MZ-PROC-CE-CP-C470;MAT;EA;0.000;1.000;KG
400;MR516122018;MODE;EA;0.200;0.200;KG
400;MZ-FG-FN01;FERT;EA;0.000;0.000;KG
400;CM_DI1-DEMO5;HALB;ST;2.500;2.500;G
400;764;HALB;EA;0.000;0.000;
400;ME-SSG-10000000607;HALB;EA;0.000;0.000;
400;509;HALB;EA;0.000;0.000;
400;CH-6100;YQFP;LB;1.150.000;1.000.000;KG
400;MR516122019;MODE;EA;0.200;0.200;KG
400;MZ_VAN_STOCK2;HAWA;ST;1.000;0.900;G
400;ML_RM_116;ROH;EA;0.000;0.000;
400;CM_DI1-DEMO6;HALB;ST;2.500;2.500;G
400;765;HALB;EA;0.000;0.000;
400;510;HALB;EA;0.000;0.000;
400;CH-5200;VERP;EA;0.000;1.000;KG
400;MR516122020;MODE;EA;0.200;0.200;KG
400;ML_RM_117;ROH;EA;0.000;0.000;
400;MZ_VAN_STOCK3;HAWA;ST;1.000;0.900;G
400;CM_DI1-DEMO7;HALB;ST;2.500;2.500;G
400;766;HALB;EA;0.000;0.000;
400;ME-SSG-10000000576;HALB;EA;0.000;0.000;
400;511;HALB;EA;0.000;0.000;
400;CH-6230;YQFP;LB;1.060.000;1.000.000;LB
400;ML_RM_118;ROH;EA;0.000;0.000;
400;CM_DI1-DEMO8;HALB;ST;2.500;2.500;G
400;MZ_VAN_STOCK4;HAWA;ST;1.000;0.900;G
400;729;HALB;EA;0.000;0.000;
400;ME-SSG-10000000594;HALB;EA;0.000;0.000;
400;512;HALB;EA;0.000;0.000;
400;ML-110;SERV;H;0.000;0.000;KG
400;MR516122021;MODE;EA;0.200;0.200;KG
400;ML_RM_119;ROH;EA;0.000;0.000;
400;730;HALB;EA;0.000;0.000;
400;CM_DI1-DEMO9;HALB;ST;2.500;2.500;G
400;MZ_VAN_STOCK5;HAWA;ST;1.000;0.900;G
400;ME-FG-10000000782;FERT;EA;0.000;0.000;KG
400;513;HALB;EA;0.000;0.000;
400;ML_RM_120;ROH;EA;0.000;0.000;
400;731;HALB;EA;0.000;0.000;
400;HT13-F10400;FERT;ST;1.771;1.771;KG
400;MZ_REPAIR;HAWA;H;1.000;0.900;G
400;MR516122022;MODE;EA;0.200;0.200;KG
400;ML-106;SERV;H;0.000;0.000;KG
800;DS-FG10-1;FERT;KG;100.000;100.000;KG
400;514;HALB;EA;0.000;0.000;
400;ML_RM_121;ROH;EA;0.000;0.000;
400;732;HALB;EA;0.000;0.000;
400;CH-3200;YQBM;LB;1.000;1.000;LB
400;MZ_LABOR_TIME;SERV;H;1.000;0.900;G
400;ML-100;SERV;H;0.000;0.000;KG
400;MR516150;MODE;EA;0.200;0.200;KG
400;MZ-TG-CM20;HAWA;ST;1.000;0.900;G
400;515;HALB;EA;0.000;0.000;
400;ML_RM_122;ROH;EA;0.000;0.000;
400;733;HALB;EA;0.000;0.000;
400;MR516112013;MODE;ST;0.200;0.200;KG
400;MZ_TRAVEL_TIME;SERV;H;1.000;0.900;G
400;PP-FG10;FERT;ST;1.290;0.980;KG
400;520;HALB;EA;0.000;0.000;
400;ML_RM_123;ROH;EA;0.000;0.000;
400;734;HALB;EA;0.000;0.000;
400;140;HALB;EA;0.000;0.000;
400;MR516150001;MODE;EA;0.200;0.200;KG
400;MRST99999;HAWA;ST;0.000;0.000;KG
400;KIT;HAWA;EA;0.000;0.000;
400;521;HALB;EA;0.000;0.000;
400;ML_RM_124;ROH;EA;0.000;0.000;
400;735;HALB;EA;0.000;0.000;
400;MR320214;HAWA;EA;70.000;70.000;OZ
400;ML-101;SERV;H;0.000;0.000;KG
400;MZ-FG-SP03;FERT;EA;0.000;0.000;KG
400;PP-RM14;ROH;ST;0.900;0.650;KG
400;MR516150002;MODE;EA;0.200;0.200;KG
400;ML_RM_125;ROH;EA;0.000;0.000;
400;736;HALB;EA;0.000;0.000;
400;522;HALB;EA;0.000;0.000;
400;ATP-PROD04B;FERT;EA;1.200;1.000;KG
400;182;FERT;ST;0.000;0.000;
400;P-100;FERT;ST;280.000;250.000;KG
400;ML-102;SERV;H;0.000;0.000;KG
400;737;HALB;EA;0.000;0.000;
400;523;HALB;EA;0.000;0.000;
400;ML_RM_126;ROH;EA;0.000;0.000;
400;MR516150003;MODE;EA;0.200;0.200;KG
400;ARFT-T1;FERT;EA;0.000;0.000;KG
400;PP-SG04;HALB;ST;150.000;120.000;G
400;738;HALB;EA;0.000;0.000;
400;215;ROH;ST;0.010;0.000;KG
400;524;HALB;EA;0.000;0.000;
400;MZ-FG-A110;FERT;EA;10.000;8.000;KG
400;ML-103;SERV;H;0.000;0.000;KG
400;MR-ADDITIONALS;VKHM;ST;0.000;0.000;KG
400;MZ-TG-AS-H100;HAWA;ST;1.000;0.900;LB
400;MZ_STV;FERT;ST;6.850;5.000;KG
400;739;HALB;EA;0.000;0.000;
400;ML_RM_127;ROH;EA;0.000;0.000;
400;MZ-FG-P002;FERT;EA;0.020;0.020;KG
400;214;ROH;ST;0.005;0.000;KG
400;525;HALB;EA;0.000;0.000;
400;ML-104;SERV;H;0.000;0.000;KG
400;MR516150004;MODE;EA;0.200;0.200;KG
400;740;HALB;EA;0.000;0.000;
400;MR516101015;MODE;ST;0.200;0.200;KG
400;ML-105;SERV;H;0.000;0.000;KG
400;526;HALB;EA;0.000;0.000;
400;MZ-FG-P003;FERT;EA;0.020;0.020;KG
400;PP-FG05;FERT;ST;12.300;11.500;KG
400;213;HALB;ST;2.500.000;2.500.000;KG
400;MR516122023;MODE;EA;0.200;0.200;KG
400;ML_RM_128;ROH;EA;0.000;0.000;
400;741;HALB;EA;0.000;0.000;
400;ML-107;SERV;H;0.000;0.000;KG
400;MZ-FG-P004;FERT;EA;0.020;0.020;KG
400;527;HALB;EA;0.000;0.000;
400;MR516122024;MODE;EA;0.200;0.200;KG
400;212;ROH;ST;5.000;0.000;KG
400;ML_RM_129;ROH;EA;0.000;0.000;
400;GTS-30001;HAWA;ST;0.400;0.400;KG
400;ML-108;SERV;H;0.000;0.000;KG
400;MZ-TG-AT-K100;HAWA;ST;1.000;0.900;LB
400;742;HALB;EA;0.000;0.000;
400;MZ-FG-P001;FERT;EA;0.020;0.020;KG
400;592;HALB;EA;0.000;0.000;
400;211;HALB;ST;3.000;2.000;KG
400;MR516122025;MODE;EA;0.200;0.200;KG
400;ML_RM_130;ROH;EA;0.000;0.000;
400;ML-109;SERV;H;0.000;0.000;KG
400;GTS-30003;HAWA;ST;0.100;0.100;KG
400;743;HALB;EA;0.000;0.000;
400;210;ROH;ST;12.000;10.000;KG
400;MZ-FG-SP0111;FERT;EA;0.000;0.000;KG
400;610;HALB;EA;0.000;0.000;
400;MR516130;MODE;EA;0.200;0.200;KG
400;MR516101016;MODE;ST;0.200;0.200;KG
400;ML_RM_131;ROH;EA;0.000;0.000;
400;ML-114;SERV;H;0.000;0.000;KG
400;MH99002;HC01;EA;0.000;0.000;
400;744;HALB;EA;0.000;0.000;
400;EWM-A85;HAWA;ST;225.000;225.000;KG
400;614;HALB;EA;0.000;0.000;
400;209;HALB;ST;1.800;1.800;KG
400;ML_RM_132;ROH;EA;0.000;0.000;
400;CP-001;ROH;ST;0.500;0.400;KG
400;ML-FG-E107;FERT;ST;0.000;0.000;KG
400;PP-FG06;FERT;EA;1.200;1.000;KG
400;745;HALB;EA;0.000;0.000;
400;MR516101017;MODE;ST;0.200;0.200;KG
400;617;HALB;EA;0.000;0.000;
400;TEST_PUMP01;FERT;EA;0.000;0.000;KG
400;208;ROH;ST;1.000;0.000;KG
400;ML_RM_133;ROH;EA;0.000;0.000;
400;MR516131;MODE;EA;0.200;0.200;KG
400;MZ-RM-C950-03;ROH;ST;0.000;0.000;
400;746;HALB;EA;0.000;0.000;
400;528;HALB;EA;0.000;0.000;
400;ATP-PROD05;FERT;EA;1.200;1.000;KG
400;TANK-PACK-MAT2;FERT;KG;0.000;0.000;KG
400;207;ROH;ST;0.500;0.000;KG
400;314;HALB;EA;0.000;0.000;
400;MR516133;MODE;EA;0.200;0.200;KG
400;MZ-RM-C950-02;ROH;ST;0.000;0.000;
400;ML_RM_134;ROH;EA;0.000;0.000;
400;747;HALB;EA;0.000;0.000;
400;MZ-RM-E108-01;ROH;ST;0.000;0.000;
400;529;HALB;EA;0.000;0.000;
400;181;ROH;ST;0.000;0.000;
400;ATP-PROD02A;FERT;EA;1.200;1.000;KG
400;MZ-RM-C950-01;ROH;ST;0.000;0.000;
400;305;HALB;EA;0.000;0.000;
400;748;HALB;EA;0.000;0.000;
400;MR516101018;MODE;ST;0.200;0.200;KG
400;206;ROH;ST;1.000;0.000;KG
400;530;HALB;EA;0.000;0.000;
400;CH-5100;VERP;EA;0.000;0.000;LB
400;ATP-PROD01A;FERT;EA;1.200;1.000;KG
400;ML_RM_135;ROH;EA;0.000;0.000;
400;MR516134;MODE;EA;0.200;0.200;KG
400;319;HALB;EA;0.000;0.000;
400;749;HALB;EA;0.000;0.000;
400;MZ-RM-C900-07;ROH;ST;0.000;0.000;
400;MR516101019;MODE;ST;0.200;0.200;KG
400;205;ROH;ST;0.500;0.000;KG
400;531;HALB;EA;0.000;0.000;
400;ATP-PROD01;FERT;EA;1.200;1.000;KG
400;TG12;HAWA;ST;1.000;0.900;G
400;ML_RM_136;ROH;EA;0.000;0.000;
400;307;HALB;EA;0.000;0.000;
400;750;HALB;EA;0.000;0.000;
400;MR516101020;MODE;ST;0.200;0.200;KG
400;204;ROH;ST;0.500;0.000;KG
400;ML_FG_0001;KMAT;EA;20.500.000;20.000.000;KG
400;532;HALB;EA;0.000;0.000;
400;CP-FD1105;ROH;KG;0.000;0.000;
400;ML_RM_137;ROH;EA;0.000;0.000;
400;MR516135;MODE;EA;0.200;0.200;KG
400;311;HALB;EA;0.000;0.000;
400;751;HALB;EA;0.000;0.000;
400;MZ-RM-C900-06;ROH;ST;0.000;0.000;
400;MR516101021;MODE;ST;0.200;0.200;KG
400;203;ROH;ST;0.000;0.000;
400;MC99918;HC01;BOX;0.000;0.000;
400;533;HALB;EA;0.000;0.000;
400;ML_RM_138;ROH;EA;0.000;0.000;
400;326;HALB;EA;0.000;0.000;
400;MR516112025;MODE;ST;0.200;0.200;KG
400;724;HALB;EA;0.000;0.000;
400;MR516147;MODE;EA;0.200;0.200;KG
400;202;HALB;ST;2.200;2.200;KG
400;534;HALB;EA;0.000;0.000;
400;MZ-RM-C900-05;ROH;ST;0.000;0.000;
400;MZ_VAN_STOCK1;HAWA;ST;1.000;0.900;G
400;TKW_1020;HALB;EA;87.500;87.500;LB
400;725;HALB;EA;0.000;0.000;
400;MR516101022;MODE;ST;0.200;0.200;KG
400;ML_RM_139;ROH;EA;0.000;0.000;
400;317;HALB;EA;0.000;0.000;
400;201;HAWA;ST;0.500;0.500;KG
400;MR516148;MODE;EA;0.200;0.200;KG
400;535;HALB;EA;0.000;0.000;
400;726;HALB;EA;0.000;0.000;
400;893;HALB;EA;0.000;0.000;
400;MZ-RM-C900-04;ROH;ST;0.000;0.000;
400;186;HALB;EA;0.000;0.000;
400;302;HALB;EA;0.000;0.000;
400;200;ROH;ST;2.000;0.000;KG
400;727;HALB;EA;0.000;0.000;
400;ML_RM_140;ROH;EA;0.000;0.000;
400;MR516101023;MODE;ST;0.200;0.200;KG
400;536;HALB;EA;0.000;0.000;
400;894;HALB;EA;0.000;0.000;
400;MR516149;MODE;EA;0.200;0.200;KG
400;MZ-RM-C900-03;ROH;ST;0.000;0.000;
400;309;HALB;EA;0.000;0.000;
400;334;HALB;EA;0.000;0.000;
400;199;ROH;M2;50.000;50.000;KG
400;793;HALB;EA;0.000;0.000;
400;537;HALB;EA;0.000;0.000;
400;ETO SPRING;HALB;ST;2.500;2.400;KG
400;MR516112003;MODE;ST;0.200;0.200;KG
400;BW-9000;ROH;ST;12.000;10.000;LB
400;187;HALB;EA;0.000;0.000;
400;RM40;ROH;ST;0.000;0.000;
400;794;HALB;EA;0.000;0.000;
400;292;HALB;EA;0.000;0.000;
400;ETO HOUSING BLACK;HALB;ST;2.500;2.400;KG
400;538;HALB;EA;0.000;0.000;
400;BW-5400;HALB;ST;3.000;3.000;LB
400;787;HALB;EA;0.000;0.000;
400;MRC23002;VKHM;ST;0.000;0.000;KG
400;ETO HOUSING CHROME;HALB;ST;2.500;2.400;KG
400;TKW_1016;ROH;EA;8.600;8.600;OZ
400;MR516112004;MODE;ST;0.200;0.200;KG
400;294;HALB;EA;0.000;0.000;
400;539;HALB;EA;0.000;0.000;
400;MZ-RM-C900-02;ROH;ST;0.000;0.000;
400;788;HALB;EA;0.000;0.000;
400;ETO HOUSING CUSTOM;HALB;ST;2.500;2.400;KG
400;346;HALB;EA;0.000;0.000;
400;540;HALB;EA;0.000;0.000;
400;MR516112005;MODE;ST;0.200;0.200;KG
400;789;HALB;EA;0.000;0.000;
400;MRCV23002;ZVOM;ST;0.000;0.000;KG
400;331;HALB;EA;0.000;0.000;
400;ETO INSERT GREEN;HALB;ST;2.500;2.400;KG
400;MZ-RM-C900-01;ROH;ST;0.000;0.000;
400;BW-5300;HALB;ST;3.000;3.000;LB
400;TKW_1001;HALB;EA;17.100;17.100;LB
400;790;HALB;EA;0.000;0.000;
400;MR516112006;MODE;ST;0.200;0.200;KG
400;541;HALB;EA;0.000;0.000;
400;MR320215;HAWA;EA;70.000;70.000;OZ
400;EDP211-01;HALB;EA;0.000;0.000;KG
400;TG13;HAWA;ST;1.000;0.900;G
400;MZ-FG-E130;FERT;ST;0.020;0.020;KG
400;TKW_1004;ROH;IN;2.500;2.500;LB
400;791;HALB;EA;0.000;0.000;
400;BW-5200;HALB;ST;3.000;3.000;LB
400;MR516112007;MODE;ST;0.200;0.200;KG
400;542;HALB;EA;0.000;0.000;
400;MR320216;HAWA;EA;70.000;70.000;OZ
400;ML_RM_228;ROH;EA;0.000;0.000;
400;EWM-A02;HAWA;ST;2.000;2.000;KG
400;MR516101003;MODE;ST;0.200;0.200;KG
400;711;FERT;EA;0.000;0.000;KG
400;MR516112008;MODE;ST;0.200;0.200;KG
400;543;HALB;EA;0.000;0.000;
400;BW-5100;HALB;ST;3.000;3.000;LB
400;PP-FG02;FERT;L;0.000;0.000;
400;KIT 12;HAWA;EA;0.000;0.000;
400;ME211-03;HALB;EA;0.000;0.000;KG
400;850;HALB;EA;0.000;0.000;
400;TKW_1002;ROH;EA;2.500;2.500;LB
400;MZ-SV-TV-1;SERV;EA;0.000;0.000;
400;MR516112009;MODE;ST;0.200;0.200;KG
400;544;HALB;EA;0.000;0.000;
400;184;FERT;EA;0.000;0.000;
400;WT_BLD_003;ROH;ST;0.000;0.000;
400;321;FERT;EA;0.000;0.000;
400;MZ-FG-PS0001;FERT;EA;0.000;0.000;KG
400;MZ-SV-PAY-1;SERV;EA;0.000;0.000;
400;TKW_1003;HALB;EA;12.100;12.100;LB
400;MR516112010;MODE;ST;0.200;0.200;KG
400;BW-5000;HALB;ST;3.000;3.000;LB
400;WT_BLD_004;ROH;ST;0.000;0.000;
400;183;FERT;EA;0.000;0.000;
400;322;HALB;EA;0.000;0.000;
400;EDP212-01;HALB;EA;0.000;0.000;KG
400;328;HALB;EA;0.000;0.000;
400;TKW_1005;ROH;EA;3.540;2.600;OZ
400;MR516112011;MODE;ST;0.200;0.200;KG
400;WT_ECS_001;ROH;ST;0.000;0.000;
400;BW-1000;FERT;ST;280.000;250.000;LB
400;545;HALB;EA;0.000;0.000;
400;188;HALB;EA;0.000;0.000;
400;TANK-BLK-MAT2;FERT;KG;0.000;0.000;KG
400;MZ-FG-DS-003;FERT;EA;0.000;0.000;KG
400;MZ-SV-UT-1;SERV;EA;0.000;0.000;
400;ATP_PROD10;FERT;EA;1.000;1.000;KG
400;TKW_1006;HALB;EA;0.050;0.050;OZ
400;WT_ECS_002;ROH;ST;0.000;0.000;
400;546;HALB;EA;0.000;0.000;
400;189;HALB;EA;0.000;0.000;
400;CP-FD1110;ROH;KG;0.000;0.000;
400;WT_ECS_003;ROH;ST;0.000;0.000;
400;MR516185;MODE;EA;0.200;0.200;KG
400;ATP_PROD01;FERT;EA;1.000;1.000;KG
400;190;HALB;EA;0.000;0.000;
400;MZ-SV-ADV-1;SERV;EA;0.000;0.000;
400;MR311121;HAWA;ST;20.000;20.000;OZ
400;TKW_1007;ROH;EA;10.340;10.340;LB
400;WT_IMP_001;ROH;ST;0.000;0.000;
400;MZ-FG-500;FERT;ST;0.000;0.000;KG
400;ATP_PROD02;FERT;EA;1.000;1.000;KG
400;547;HALB;EA;0.000;0.000;
400;MR516186;MODE;EA;0.200;0.200;KG
400;MZ-SV-OS-1;SERV;EA;0.000;0.000;
400;191;HALB;EA;0.000;0.000;
400;MR-SSNGLC;HAWA;EA;2.100;2.000;KG
400;TKW_1008;ROH;OZA;0.730;0.730;OZ
400;WT_IMP_002;ROH;ST;0.000;0.000;
400;ATP_PROD03;FERT;EA;1.000;1.000;KG
400;323;HALB;EA;0.000;0.000;
400;548;HALB;EA;0.000;0.000;
400;MR516187;MODE;EA;0.200;0.200;KG
400;MZ-SV-IT-1;SERV;EA;0.000;0.000;
400;194;HALB;EA;0.000;0.000;
400;WT_NAC_001;ROH;ST;0.000;0.000;
400;MR450202;HAWA;EA;2.400;2.300;KG
400;TKW_1011;ROH;EA;3.540;2.600;OZ
400;324;HALB;EA;0.000;0.000;
400;ATP_PROD04;FERT;EA;1.000;1.000;KG
400;549;HALB;EA;0.000;0.000;
400;MZ-SV-LS-1;SERV;EA;0.000;0.000;
400;WT_GNR_001;HALB;ST;0.000;0.000;
400;MR-MD-CD-ART1;HAWA;ST;12.000;12.000;OZ
400;TKW_1012;ROH;EA;0.350;0.350;OZ
400;881;HALB;ST;1.000;0.900;G
400;550;HALB;EA;0.000;0.000;
400;ATP_PROD06;FERT;EA;1.000;1.000;KG
400;MZ-RM-E108-05;ROH;ST;0.000;0.000;
400;WT_AXL_001;ROH;ST;0.000;0.000;
400;TKW_10012;HALB;EA;17.100;17.100;LB
400;MR-MD-FT1-ART1;HAWA;ST;20.000;20.000;OZ
400;MR450205;HAWA;EA;0.800;0.600;KG
400;MA700;SERV;P;0.000;0.000;KG
400;551;HALB;EA;0.000;0.000;
400;325;HALB;EA;0.000;0.000;
400;WT_MOV_001;ROH;ST;0.000;0.000;
400;AT13-F10400;FERT;ST;1.771;1.771;KG
400;MR-MD-FT2-ART1;HAWA;ST;12.000;12.000;OZ
400;MZ-RM-E108-06;ROH;ST;0.000;0.000;
400;895;HALB;EA;0.000;0.000;
400;552;HALB;EA;0.000;0.000;
400;ATP_PROD05;FERT;EA;1.000;1.000;KG
400;MZ-FG-B1;FERT;ST;0.000;0.000;KG
400;WT_ROT_001;ROH;ST;0.000;0.000;
400;352;HALB;EA;0.000;0.000;
400;327;HALB;EA;0.000;0.000;
400;MR-DSNGLC;HAWA;EA;10.000;9.800;KG
400;MZ-RM-E108-07;ROH;ST;0.000;0.000;
400;MZ-ARIBA-A100;HAWA;ST;0.000;0.000;
400;553;HALB;EA;0.000;0.000;
400;WT_STAT_001;ROH;ST;0.000;0.000;
400;MZ-SG-S2;HALB;ST;0.000;0.000;KG
400;ML-FG-P100;FERT;EA;1.000;1.000;KG
400;MZ-RM-E108-08;ROH;ST;0.000;0.000;
400;MR516112014;MODE;ST;0.200;0.200;KG
400;MZ-SG-CM02;HALB;ST;0.500;0.150;KG
400;896;HALB;EA;0.000;0.000;
400;554;HALB;EA;0.000;0.000;
400;MZ-RM-E106-01;ROH;ST;0.000;0.000;
