439, 4091, 0, Texas, 2017-05-18T15:25:52.933Z, d75ac4456119
699, 4206, 1, Joe, 2017-05-18T15:49:02.593Z, e0851cf4be8c
690, 4156, 1, Joe, 2017-05-18T15:49:02.593Z, e0851cf4be8c
684, 4209, 1, Joe, 2017-05-18T15:49:02.843Z, e0851cf4be8c
677, 4192, 1, Joe, 2017-05-18T15:49:02.846Z, e0851cf4be8c
692, 4184, 1, Joe, 2017-05-18T15:49:02.848Z, e0851cf4be8c
668, 4162, 1, Joe, 2017-05-18T15:49:02.849Z, e0851cf4be8c
693, 4156, 1, Joe, 2017-05-18T15:49:02.850Z, e0851cf4be8c
699, 4154, 1, Joe, 2017-05-18T15:49:02.850Z, e0851cf4be8c
691, 4148, 1, Joe, 2017-05-18T15:49:02.852Z, e0851cf4be8c
709, 4142, 1, Joe, 2017-05-18T15:49:02.852Z, e0851cf4be8c
698, 4138, 1, Joe, 2017-05-18T15:49:02.853Z, e0851cf4be8c
677, 4201, 1, Joe, 2017-05-18T15:49:02.854Z, e0851cf4be8c
676, 4189, 1, Joe, 2017-05-18T15:49:02.854Z, e0851cf4be8c
672, 4180, 1, Joe, 2017-05-18T15:49:02.855Z, e0851cf4be8c
676, 4164, 1, Joe, 2017-05-18T15:49:02.855Z, e0851cf4be8c
688, 4157, 1, Joe, 2017-05-18T15:49:02.857Z, e0851cf4be8c
707, 4172, 1, Joe, 2017-05-18T15:49:02.858Z, e0851cf4be8c
672, 4164, 1, Joe, 2017-05-18T15:49:02.861Z, e0851cf4be8c
684, 4152, 1, Joe, 2017-05-18T15:49:02.861Z, e0851cf4be8c
690, 4156, 1, Joe, 2017-05-18T15:49:02.861Z, e0851cf4be8c
673, 4144, 1, Joe, 2017-05-18T15:49:02.864Z, e0851cf4be8c
716, 4139, 1, Joe, 2017-05-18T15:49:02.865Z, e0851cf4be8c
686, 4133, 1, Joe, 2017-05-18T15:49:02.866Z, e0851cf4be8c
689, 4130, 1, Joe, 2017-05-18T15:49:02.868Z, e0851cf4be8c
686, 4124, 1, Joe, 2017-05-18T15:49:02.870Z, e0851cf4be8c
663, 4120, 1, Joe, 2017-05-18T15:49:02.871Z, e0851cf4be8c
679, 4119, 1, Joe, 2017-05-18T15:49:02.872Z, e0851cf4be8c
693, 4119, 1, Joe, 2017-05-18T15:49:02.874Z, e0851cf4be8c
680, 4116, 1, Joe, 2017-05-18T15:49:02.875Z, e0851cf4be8c
694, 4148, 1, Joe, 2017-05-18T15:49:02.877Z, e0851cf4be8c
687, 4140, 1, Joe, 2017-05-18T15:49:02.877Z, e0851cf4be8c
685, 4137, 1, Joe, 2017-05-18T15:49:02.879Z, e0851cf4be8c
715, 4141, 1, Joe, 2017-05-18T15:49:02.880Z, e0851cf4be8c
683, 4134, 1, Joe, 2017-05-18T15:49:02.881Z, e0851cf4be8c
703, 4132, 1, Joe, 2017-05-18T15:49:02.882Z, e0851cf4be8c
711, 4129, 1, Joe, 2017-05-18T15:49:02.883Z, e0851cf4be8c
703, 4123, 1, Joe, 2017-05-18T15:49:02.886Z, e0851cf4be8c
687, 4121, 1, Joe, 2017-05-18T15:49:02.886Z, e0851cf4be8c
671, 4119, 1, Joe, 2017-05-18T15:49:02.888Z, e0851cf4be8c
667, 4113, 1, Joe, 2017-05-18T15:49:02.889Z, e0851cf4be8c
702, 4111, 1, Joe, 2017-05-18T15:49:02.890Z, e0851cf4be8c
669, 4111, 1, Joe, 2017-05-18T15:49:02.891Z, e0851cf4be8c
703, 4109, 1, Joe, 2017-05-18T15:49:02.892Z, e0851cf4be8c
670, 4108, 1, Joe, 2017-05-18T15:49:02.896Z, e0851cf4be8c
688, 4108, 1, Joe, 2017-05-18T15:49:02.897Z, e0851cf4be8c
704, 4107, 1, Joe, 2017-05-18T15:49:02.899Z, e0851cf4be8c
691, 4106, 1, Joe, 2017-05-18T15:49:02.902Z, e0851cf4be8c
679, 4107, 1, Joe, 2017-05-18T15:49:02.902Z, e0851cf4be8c
690, 4108, 1, Joe, 2017-05-18T15:49:02.904Z, e0851cf4be8c
663, 4108, 1, Joe, 2017-05-18T15:49:02.904Z, e0851cf4be8c
698, 4107, 1, Joe, 2017-05-18T15:49:02.906Z, e0851cf4be8c
680, 4106, 1, Joe, 2017-05-18T15:49:02.908Z, e0851cf4be8c
698, 4104, 1, Joe, 2017-05-18T15:49:02.909Z, e0851cf4be8c
667, 4101, 1, Joe, 2017-05-18T15:49:02.909Z, e0851cf4be8c
690, 4101, 1, Joe, 2017-05-18T15:49:02.922Z, e0851cf4be8c
690, 4101, 1, Joe, 2017-05-18T15:49:02.923Z, e0851cf4be8c
692, 4105, 1, Joe, 2017-05-18T15:49:02.925Z, e0851cf4be8c
694, 4100, 1, Joe, 2017-05-18T15:49:02.927Z, e0851cf4be8c
683, 4098, 1, Joe, 2017-05-18T15:49:02.928Z, e0851cf4be8c
696, 4105, 1, Joe, 2017-05-18T15:49:02.928Z, e0851cf4be8c
682, 4106, 1, Joe, 2017-05-18T15:49:02.929Z, e0851cf4be8c
681, 4106, 1, Joe, 2017-05-18T15:49:02.930Z, e0851cf4be8c
682, 4104, 1, Joe, 2017-05-18T15:49:03.037Z, e0851cf4be8c
691, 4105, 1, Joe, 2017-05-18T15:49:03.036Z, e0851cf4be8c
690, 4105, 1, Joe, 2017-05-18T15:49:03.037Z, e0851cf4be8c
695, 4102, 1, Joe, 2017-05-18T15:49:03.040Z, e0851cf4be8c
689, 4103, 1, Joe, 2017-05-18T15:49:03.038Z, e0851cf4be8c
676, 4103, 1, Joe, 2017-05-18T15:49:03.088Z, e0851cf4be8c
687, 4114, 1, Joe, 2017-05-18T15:49:03.089Z, e0851cf4be8c
676, 4113, 1, Joe, 2017-05-18T15:49:03.091Z, e0851cf4be8c
693, 4107, 1, Joe, 2017-05-18T15:49:03.091Z, e0851cf4be8c
670, 4111, 1, Joe, 2017-05-18T15:49:03.091Z, e0851cf4be8c
699, 4107, 1, Joe, 2017-05-18T15:49:03.095Z, e0851cf4be8c
695, 4105, 1, Joe, 2017-05-18T15:49:03.098Z, e0851cf4be8c
674, 4105, 1, Joe, 2017-05-18T15:49:03.097Z, e0851cf4be8c
665, 4105, 1, Joe, 2017-05-18T15:49:03.099Z, e0851cf4be8c
683, 4141, 1, Joe, 2017-05-18T15:49:03.100Z, e0851cf4be8c
679, 4106, 1, Joe, 2017-05-18T15:49:03.097Z, e0851cf4be8c
697, 4132, 1, Joe, 2017-05-18T15:49:03.102Z, e0851cf4be8c
701, 4135, 1, Joe, 2017-05-18T15:49:03.101Z, e0851cf4be8c
669, 4107, 1, Joe, 2017-05-18T15:49:03.097Z, e0851cf4be8c
710, 4123, 1, Joe, 2017-05-18T15:49:03.103Z, e0851cf4be8c
693, 4174, 1, Joe, 2017-05-18T15:49:03.103Z, e0851cf4be8c
682, 4176, 1, Joe, 2017-05-18T15:49:03.109Z, e0851cf4be8c
700, 4170, 1, Joe, 2017-05-18T15:49:03.110Z, e0851cf4be8c
669, 4223, 1, Joe, 2017-05-18T15:49:03.112Z, e0851cf4be8c
676, 4230, 1, Joe, 2017-05-18T15:49:03.113Z, e0851cf4be8c
699, 4208, 1, Joe, 2017-05-18T15:49:03.114Z, e0851cf4be8c
709, 4193, 1, Joe, 2017-05-18T15:49:03.116Z, e0851cf4be8c
679, 4196, 1, Joe, 2017-05-18T15:49:03.118Z, e0851cf4be8c
691, 4175, 1, Joe, 2017-05-18T15:49:03.119Z, e0851cf4be8c
684, 4164, 1, Joe, 2017-05-18T15:49:03.273Z, e0851cf4be8c
695, 4167, 1, Joe, 2017-05-18T15:49:03.272Z, e0851cf4be8c
692, 4153, 1, Joe, 2017-05-18T15:49:03.274Z, e0851cf4be8c
699, 4132, 1, Joe, 2017-05-18T15:49:03.275Z, e0851cf4be8c
688, 4140, 1, Joe, 2017-05-18T15:49:03.275Z, e0851cf4be8c
684, 4125, 1, Joe, 2017-05-18T15:49:03.276Z, e0851cf4be8c
667, 4125, 1, Joe, 2017-05-18T15:49:03.277Z, e0851cf4be8c
684, 4122, 1, Joe, 2017-05-18T15:49:03.278Z, e0851cf4be8c
684, 4118, 1, Joe, 2017-05-18T15:49:03.278Z, e0851cf4be8c
667, 4114, 1, Joe, 2017-05-18T15:49:03.279Z, e0851cf4be8c
683, 4112, 1, Joe, 2017-05-18T15:49:03.281Z, e0851cf4be8c
688, 4109, 1, Joe, 2017-05-18T15:49:03.282Z, e0851cf4be8c
668, 4106, 1, Joe, 2017-05-18T15:49:03.283Z, e0851cf4be8c
690, 4103, 1, Joe, 2017-05-18T15:49:03.284Z, e0851cf4be8c
680, 4102, 1, Joe, 2017-05-18T15:49:03.286Z, e0851cf4be8c
724, 4101, 1, Joe, 2017-05-18T15:49:03.288Z, e0851cf4be8c
691, 4100, 1, Joe, 2017-05-18T15:49:04.196Z, e0851cf4be8c
691, 4101, 1, Joe, 2017-05-18T15:49:04.197Z, e0851cf4be8c
673, 4100, 1, Joe, 2017-05-18T15:49:04.197Z, e0851cf4be8c
669, 4099, 1, Joe, 2017-05-18T15:49:04.198Z, e0851cf4be8c
666, 4098, 1, Joe, 2017-05-18T15:49:04.200Z, e0851cf4be8c
696, 4098, 1, Joe, 2017-05-18T15:49:04.201Z, e0851cf4be8c
681, 4096, 1, Joe, 2017-05-18T15:49:04.201Z, e0851cf4be8c
670, 4095, 1, Joe, 2017-05-18T15:49:04.202Z, e0851cf4be8c
447, 4094, 1, Joe, 2017-05-18T15:49:05.762Z, e0851cf4be8c
444, 4148, 1, Joe, 2017-05-18T15:49:06.164Z, e0851cf4be8c
433, 4141, 1, Joe, 2017-05-18T15:49:06.165Z, e0851cf4be8c
416, 4132, 1, Joe, 2017-05-18T15:49:06.167Z, e0851cf4be8c
464, 4129, 1, Joe, 2017-05-18T15:49:06.270Z, e0851cf4be8c
452, 4123, 1, Joe, 2017-05-18T15:49:06.272Z, e0851cf4be8c
454, 4121, 1, Joe, 2017-05-18T15:49:06.273Z, e0851cf4be8c
431, 4129, 1, Joe, 2017-05-18T15:49:06.273Z, e0851cf4be8c
467, 4117, 1, Joe, 2017-05-18T15:49:08.493Z, e0851cf4be8c
448, 4107, 1, Joe, 2017-05-18T15:49:08.493Z, e0851cf4be8c
456, 4114, 1, Joe, 2017-05-18T15:49:08.493Z, e0851cf4be8c
450, 4107, 1, Joe, 2017-05-18T15:49:08.493Z, e0851cf4be8c
447, 4105, 1, Joe, 2017-05-18T15:49:08.494Z, e0851cf4be8c
426, 4103, 1, Joe, 2017-05-18T15:49:08.494Z, e0851cf4be8c
632, 4100, 1, Joe, 2017-05-18T15:49:08.556Z, e0851cf4be8c
707, 4097, 1, Joe, 2017-05-18T15:49:08.856Z, e0851cf4be8c
696, 4108, 1, Joe, 2017-05-18T15:49:09.063Z, e0851cf4be8c
677, 4104, 1, Joe, 2017-05-18T15:49:09.569Z, e0851cf4be8c
709, 4104, 1, Joe, 2017-05-18T15:49:09.907Z, e0851cf4be8c
700, 4102, 1, Joe, 2017-05-18T15:49:09.911Z, e0851cf4be8c
693, 4123, 1, Joe, 2017-05-18T15:49:10.074Z, e0851cf4be8c
688, 4119, 1, Joe, 2017-05-18T15:49:10.388Z, e0851cf4be8c
697, 4135, 1, Joe, 2017-05-18T15:49:10.644Z, e0851cf4be8c
709, 4130, 1, Joe, 2017-05-18T15:49:10.809Z, e0851cf4be8c
675, 4143, 1, Joe, 2017-05-18T15:49:11.103Z, e0851cf4be8c
681, 4160, 1, Joe, 2017-05-18T15:49:11.315Z, e0851cf4be8c
707, 4150, 1, Joe, 2017-05-18T15:49:11.539Z, e0851cf4be8c
705, 4141, 1, Joe, 2017-05-18T15:49:11.867Z, e0851cf4be8c
705, 4143, 1, Joe, 2017-05-18T15:49:12.104Z, e0851cf4be8c
701, 4136, 1, Joe, 2017-05-18T15:49:12.331Z, e0851cf4be8c
675, 4132, 1, Joe, 2017-05-18T15:49:12.649Z, e0851cf4be8c
690, 4125, 1, Joe, 2017-05-18T15:49:12.865Z, e0851cf4be8c
964, 4116, 1, Joe, 2017-05-18T15:49:13.071Z, e0851cf4be8c
1000, 4094, 1, Joe, 2017-05-18T15:49:13.882Z, e0851cf4be8c
957, 4105, 1, Joe, 2017-05-18T15:49:13.882Z, e0851cf4be8c
1009, 4091, 1, Joe, 2017-05-18T15:49:13.957Z, e0851cf4be8c
1020, 4142, 1, Joe, 2017-05-18T15:49:14.129Z, e0851cf4be8c
999, 4136, 1, Joe, 2017-05-18T15:49:14.681Z, e0851cf4be8c
977, 4113, 1, Joe, 2017-05-18T15:49:15.036Z, e0851cf4be8c
400, 4108, 0, Texas, 2017-05-18T16:11:45.378Z, d75ac4456119
420, 4073, 0, Texas, 2017-05-18T16:11:45.729Z, d75ac4456119
381, 4105, 0, Texas, 2017-05-18T16:11:46.281Z, d75ac4456119
413, 4084, 0, Texas, 2017-05-18T16:11:46.655Z, d75ac4456119
417, 4076, 0, Texas, 2017-05-18T16:11:47.236Z, d75ac4456119
418, 4064, 0, Texas, 2017-05-18T16:11:47.612Z, d75ac4456119
402, 4116, 0, Texas, 2017-05-18T16:11:48.035Z, d75ac4456119
398, 4096, 1, Texas, 2017-05-18T16:11:48.598Z, d75ac4456119
401, 4079, 1, Texas, 2017-05-18T16:11:49.001Z, d75ac4456119
364, 4088, 1, Texas, 2017-05-18T16:11:49.556Z, d75ac4456119
394, 4104, 1, Texas, 2017-05-18T16:11:49.979Z, d75ac4456119
406, 4084, 1, Texas, 2017-05-18T16:11:50.893Z, d75ac4456119
392, 4057, 1, Texas, 2017-05-18T16:11:51.393Z, d75ac4456119
388, 4047, 1, Texas, 2017-05-18T16:11:51.918Z, d75ac4456119
389, 4038, 1, Texas, 2017-05-18T16:11:52.315Z, d75ac4456119
397, 4033, 1, Texas, 2017-05-18T16:11:53.277Z, d75ac4456119
399, 4028, 1, Texas, 2017-05-18T16:11:53.899Z, d75ac4456119
426, 4028, 1, Texas, 2017-05-18T16:11:54.250Z, d75ac4456119
424, 4026, 1, Texas, 2017-05-18T16:11:54.701Z, d75ac4456119
390, 4067, 1, Texas, 2017-05-18T16:11:55.207Z, d75ac4456119
391, 4065, 1, Texas, 2017-05-18T16:11:55.608Z, d75ac4456119
361, 4055, 1, Texas, 2017-05-18T16:11:56.261Z, d75ac4456119
405, 4049, 1, Texas, 2017-05-18T16:11:56.712Z, d75ac4456119
373, 4107, 1, Texas, 2017-05-18T16:11:57.165Z, d75ac4456119
383, 4070, 1, Texas, 2017-05-18T16:11:57.568Z, d75ac4456119
384, 4059, 1, Texas, 2017-05-18T16:11:58.022Z, d75ac4456119
604, 4055, 1, Texas, 2017-05-18T16:11:58.929Z, d75ac4456119
581, 4025, 1, Texas, 2017-05-18T16:11:59.192Z, d75ac4456119
589, 4042, 1, Texas, 2017-05-18T16:11:59.542Z, d75ac4456119
641, 4091, 1, Texas, 2017-05-18T16:11:59.797Z, d75ac4456119
611, 4084, 1, Texas, 2017-05-18T16:12:00.052Z, d75ac4456119
575, 4076, 1, Texas, 2017-05-18T16:12:00.360Z, d75ac4456119
608, 4058, 1, Texas, 2017-05-18T16:12:00.659Z, d75ac4456119
581, 4053, 1, Texas, 2017-05-18T16:12:01.262Z, d75ac4456119
587, 4039, 1, Texas, 2017-05-18T16:12:01.263Z, d75ac4456119
607, 4034, 1, Texas, 2017-05-18T16:12:01.475Z, d75ac4456119
0, 4181, 0, Texas, 2017-05-18T16:12:02.068Z, c28910583f6a
539, 4018, 1, Joe, 2017-05-18T16:12:12.092Z, d75ac4456119
529, 4069, 1, Joe, 2017-05-18T16:12:12.384Z, d75ac4456119
539, 4056, 1, Joe, 2017-05-18T16:12:12.664Z, d75ac4456119
533, 4057, 1, Joe, 2017-05-18T16:12:13.029Z, d75ac4456119
377, 4088, 1, Joe, 2017-05-18T16:12:13.446Z, d75ac4456119
361, 4067, 1, Joe, 2017-05-18T16:12:13.898Z, d75ac4456119
376, 4054, 1, Joe, 2017-05-18T16:12:14.362Z, d75ac4456119
595, 4049, 1, Joe, 2017-05-18T16:12:24.966Z, d75ac4456119
595, 4077, 1, Joe, 2017-05-18T16:12:25.218Z, d75ac4456119
615, 4067, 1, Joe, 2017-05-18T16:12:25.771Z, d75ac4456119
0, 4181, 0, Texas, 2017-05-18T16:12:26.026Z, c28910583f6a
109, 4043, 1, Joe, 2017-05-18T16:16:51.998Z, d75ac4456119
348, 4000, 1, Joe, 2017-05-18T16:16:52.620Z, d75ac4456119
327, 3979, 1, Joe, 2017-05-18T16:16:53.076Z, d75ac4456119
197, 3970, 1, Joe, 2017-05-18T16:16:55.227Z, d75ac4456119
230, 4058, 1, Joe, 2017-05-18T16:16:55.968Z, d75ac4456119
981, 4018, 1, Joe, 2017-05-18T16:16:56.331Z, d75ac4456119
793, 3993, 1, Joe, 2017-05-18T16:16:57.442Z, d75ac4456119
768, 3992, 1, Joe, 2017-05-18T16:16:57.643Z, d75ac4456119
572, 3984, 1, Joe, 2017-05-18T16:16:57.900Z, d75ac4456119
