MANDT;MATNR;MTART;MEINS;BRGEW;NTGEW;GEWEI;MANDT_1;MATNR_1;STPRS;BKLAS;MANDT_2;MATNR_2;SPRAS;MAKTX;MAKTG
400.000000;800;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;800;E;swingarm_joint;SWINGARM_JOINT
400.000000;MDQ_ADP__0031;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0031;E;MDQ_ADP__0031;MDQ_ADP__0031
400.000000;801;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;801;E;swingarm_lower_left;SWINGARM_LOWER_LEFT
400.000000;MDQ_ADP__0032;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0032;E;MDQ_ADP__0032;MDQ_ADP__0032
400.000000;CM_DI1-DEMO_BOM;FERT;ST;0.000;0.000;null;null;null;null;null;400.000000;CM_DI1-DEMO_BOM;E;Campaign Management demo BOM;CAMPAIGN MANAGEMENT DEMO BOM
400.000000;802;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;802;E;swingarm_lower_right;SWINGARM_LOWER_RIGHT
400.000000;MDQ_ADP__0033;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0033;E;MDQ_ADP__0033;MDQ_ADP__0033
400.000000;CM_DI1-DEMO1;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO1;E;TRMR\,2K\,10%\,1/2W;TRMR\,2K\,10%\,1/2W
400.000000;803;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;803;E;swingarm_plate_left;SWINGARM_PLATE_LEFT
400.000000;MDQ_ADP__0034;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0034;E;MDQ_ADP__0034;MDQ_ADP__0034
400.000000;CM_DI1-DEMO10;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO10;E;XSTR\,2N4402;XSTR\,2N4402
400.000000;804;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;804;E;swingarm_plate_right;SWINGARM_PLATE_RIGHT
400.000000;MDQ_ADP__0035;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0035;E;MDQ_ADP__0035;MDQ_ADP__0035
400.000000;CM_DI1-DEMO11;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO11;E;DIODE\,DUAL\,SMD;DIODE\,DUAL\,SMD
400.000000;805;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;805;E;swingarm_shock_support;SWINGARM_SHOCK_SUPPORT
400.000000;MDQ_ADP__0036;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0036;E;MDQ_ADP__0036;MDQ_ADP__0036
400.000000;CM_DI1-DEMO12;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO12;E;XSTR\,3906\,SOT-23;XSTR\,3906\,SOT-23
400.000000;806;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;806;E;swingarm_tube_left;SWINGARM_TUBE_LEFT
400.000000;MDQ_ADP__0037;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0037;E;MDQ_ADP__0037;MDQ_ADP__0037
400.000000;CM_DI1-DEMO13;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO13;E;XSTR\,400V\,NPN\,TO-3;XSTR\,400V\,NPN\,TO-3
400.000000;807;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;807;E;swingarm_tube_right;SWINGARM_TUBE_RIGHT
400.000000;MDQ_ADP__0038;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0038;E;MDQ_ADP__0038;MDQ_ADP__0038
400.000000;CM_DI1-DEMO14;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO14;E;CAP\,10UF\,10%\,25V\,7343;CAP\,10UF\,10%\,25V\,7343
400.000000;808;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;808;E;swingarm_upper_left;SWINGARM_UPPER_LEFT
400.000000;MDQ_ADP__0039;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0039;E;MDQ_ADP__0039;MDQ_ADP__0039
400.000000;809;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;809;E;swingarm_upper_right;SWINGARM_UPPER_RIGHT
400.000000;MDQ_ADP__0040;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0040;E;MDQ_ADP__0040;MDQ_ADP__0040
400.000000;792;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;792;E;kick_stand;KICK_STAND
400.000000;786;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;786;E;foot_peg_left;FOOT_PEG_LEFT
400.000000;MDQ_ADP__0041;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0041;E;MDQ_ADP__0041;MDQ_ADP__0041
400.000000;CM_DI1-DEMO15;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO15;E;RES\,100\,1%\,1/4W\,MF;RES\,100\,1%\,1/4W\,MF
400.000000;776;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;776;E;coil_spring;COIL_SPRING
400.000000;MDQ_ADP__0042;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0042;E;MDQ_ADP__0042;MDQ_ADP__0042
400.000000;CM_DI1-DEMO16;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO16;E;RES\,1000\,1%\,1/4W\,MF;RES\,1000\,1%\,1/4W\,MF
400.000000;777;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;777;E;shock_adjustment_ring;SHOCK_ADJUSTMENT_RING
400.000000;MDQ_ADP__0043;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0043;E;MDQ_ADP__0043;MDQ_ADP__0043
400.000000;CM_DI1-DEMO17;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO17;E;RES\,10.0K\,1%\,1/4W\,MF;RES\,10.0K\,1%\,1/4W\,MF
400.000000;778;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;778;E;shock_body_main;SHOCK_BODY_MAIN
400.000000;MDQ_ADP__0044;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0044;E;MDQ_ADP__0044;MDQ_ADP__0044
400.000000;CM_DI1-DEMO18;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO18;E;RES\,100K\,1/4W\,MF;RES\,100K\,1/4W\,MF
400.000000;779;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;779;E;shock_body_upper;SHOCK_BODY_UPPER
400.000000;MDQ_ADP__0045;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0045;E;MDQ_ADP__0045;MDQ_ADP__0045
400.000000;CM_DI1-DEMO19;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO19;E;RES\,10.0K\,1%\,1/4W\,MF;RES\,10.0K\,1%\,1/4W\,MF
400.000000;780;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;780;E;shock_bushing;SHOCK_BUSHING
400.000000;MDQ_ADP__0046;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0046;E;MDQ_ADP__0046;MDQ_ADP__0046
400.000000;CM_DI1-DEMO2;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO2;E;RES\,9X10K\,NET;RES\,9X10K\,NET
400.000000;781;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;781;E;shock_bushing_pad;SHOCK_BUSHING_PAD
400.000000;MDQ_ADP__0047;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0047;E;MDQ_ADP__0047;MDQ_ADP__0047
400.000000;CM_DI1-DEMO20;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO20;E;RES\,12.1K\,1/4W\,MF;RES\,12.1K\,1/4W\,MF
400.000000;782;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;782;E;shock_end;SHOCK_END
400.000000;MDQ_ADP__0048;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0048;E;MDQ_ADP__0048;MDQ_ADP__0048
400.000000;783;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;783;E;shock_inf_spring_cap;SHOCK_INF_SPRING_CAP
400.000000;CM_DI1-DEMO21;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO21;E;RES\,130\,1/4W\,MF;RES\,130\,1/4W\,MF
400.000000;MDQ_ADP__0049;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0049;E;MDQ_ADP__0049;MDQ_ADP__0049
400.000000;784;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;784;E;shock_rod;SHOCK_ROD
400.000000;CM_DI1-DEMO22;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO22;E;RES\,1500\,1/4W\,MF;RES\,1500\,1/4W\,MF
400.000000;PI-4140;ROH;KG;0.000;0.000;KG;400.000000;PI-4140;2.00;3000;400.000000;PI-4140;E;Croscarmellose sodium;CROSCARMELLOSE SODIUM
400.000000;768;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;768;E;cap_tube_20;CAP_TUBE_20
400.000000;CM_DI1-DEMO23;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO23;E;RES\,1820\,1/4W\,MF;RES\,1820\,1/4W\,MF
400.000000;MR585162003;ZFRT;EA;0.400;0.350;KG;400.000000;MR585162003;0.00;7920;400.000000;MR585162003;E;Boys Hooded Cardigan\, Red\, 8;BOYS HOODED CARDIGAN\, RED\, 8
400.000000;MR585162003;ZFRT;EA;0.400;0.350;KG;400.000000;MR585162003;0.00;7920;400.000000;MR585162003;E;Boys Hooded Cardigan\, Red\, 8;BOYS HOODED CARDIGAN\, RED\, 8
400.000000;MR585162003;ZFRT;EA;0.400;0.350;KG;400.000000;MR585162003;0.00;7920;400.000000;MR585162003;E;Boys Hooded Cardigan\, Red\, 8;BOYS HOODED CARDIGAN\, RED\, 8
400.000000;769;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;769;E;rear_diaganol_left;REAR_DIAGANOL_LEFT
400.000000;PI-4150;ROH;KG;0.000;0.000;KG;400.000000;PI-4150;2.00;3000;400.000000;PI-4150;E;Magnesium stearate;MAGNESIUM STEARATE
400.000000;CM_DI1-DEMO24;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO24;E;FERRITE\,CHOKE\,SMD;FERRITE\,CHOKE\,SMD
400.000000;770;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;770;E;rear_diaganol_right;REAR_DIAGANOL_RIGHT
400.000000;MR585162004;ZFRT;EA;0.400;0.350;KG;400.000000;MR585162004;0.00;7920;400.000000;MR585162004;E;Boys Hooded Cardigan\, Yellow\, 8;BOYS HOODED CARDIGAN\, YELLOW\, 8
400.000000;MR585162004;ZFRT;EA;0.400;0.350;KG;400.000000;MR585162004;0.00;7920;400.000000;MR585162004;E;Boys Hooded Cardigan\, Yellow\, 8;BOYS HOODED CARDIGAN\, YELLOW\, 8
400.000000;MR585162004;ZFRT;EA;0.400;0.350;KG;400.000000;MR585162004;0.00;7920;400.000000;MR585162004;E;Boys Hooded Cardigan\, Yellow\, 8;BOYS HOODED CARDIGAN\, YELLOW\, 8
400.000000;771;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;771;E;rear_frame_bridge;REAR_FRAME_BRIDGE
400.000000;PI-4160;ROH;KG;0.000;0.000;KG;400.000000;PI-4160;2.00;3000;400.000000;PI-4160;E;Hydroxypropyl methylcellulose;HYDROXYPROPYL METHYLCELLULOSE
400.000000;MR450201;HAWA;EA;0.200;0.200;KG;400.000000;MR450201;0.00;3100;400.000000;MR450201;E;GPS Navigator;GPS NAVIGATOR
400.000000;MR450201;HAWA;EA;0.200;0.200;KG;400.000000;MR450201;0.00;3100;400.000000;MR450201;E;GPS Navigator;GPS NAVIGATOR
400.000000;MR450201;HAWA;EA;0.200;0.200;KG;400.000000;MR450201;0.00;3100;400.000000;MR450201;E;GPS Navigator;GPS NAVIGATOR
400.000000;MR450201;HAWA;EA;0.200;0.200;KG;400.000000;MR450201;0.00;3100;400.000000;MR450201;E;GPS Navigator;GPS NAVIGATOR
400.000000;MR450201;HAWA;EA;0.200;0.200;KG;400.000000;MR450201;0.00;3100;400.000000;MR450201;E;GPS Navigator;GPS NAVIGATOR
400.000000;MR450201;HAWA;EA;0.200;0.200;KG;400.000000;MR450201;0.00;3100;400.000000;MR450201;E;GPS Navigator;GPS NAVIGATOR
400.000000;MR450201;HAWA;EA;0.200;0.200;KG;400.000000;MR450201;0.00;3100;400.000000;MR450201;E;GPS Navigator;GPS NAVIGATOR
400.000000;MR450201;HAWA;EA;0.200;0.200;KG;400.000000;MR450201;0.00;3100;400.000000;MR450201;E;GPS Navigator;GPS NAVIGATOR
400.000000;MR450201;HAWA;EA;0.200;0.200;KG;400.000000;MR450201;0.00;3100;400.000000;MR450201;E;GPS Navigator;GPS NAVIGATOR
400.000000;CM_DI1-DEMO25;HALB;ST;2.500;2.500;G;null;null;null;null;400.000000;CM_DI1-DEMO25;E;SOCKET\,IC\,DIP\,14 PIN;SOCKET\,IC\,DIP\,14 PIN
400.000000;772;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;772;E;rear_frame_junction;REAR_FRAME_JUNCTION
400.000000;MZ-FG-SP04;FERT;EA;0.000;0.000;KG;400.000000;MZ-FG-SP04;0.00;7920;400.000000;MZ-FG-SP04;E;Finished peoduct-Test;FINISHED PEODUCT-TEST
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;MR516206011;MODE;EA;0.200;0.200;KG;400.000000;MR516206011;0.00;3100;400.000000;MR516206011;E;Soft-Shell Jacket\, Amber\, Extra Large;SOFT-SHELL JACKET\, AMBER\, EXTRA LARGE
400.000000;773;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;773;E;rear_horizontal_left;REAR_HORIZONTAL_LEFT
400.000000;PREASS_REAR_BUMPER;KMAT;ST;0.000;0.000;null;null;null;null;null;400.000000;PREASS_REAR_BUMPER;E;Spider\, config. material for MC 3.0;SPIDER\, CONFIG. MATERIAL FOR MC 3.0
400.000000;MR516206012;MODE;EA;0.200;0.200;KG;400.000000;MR516206012;0.00;3100;400.000000;MR516206012;E;Soft-Shell Jacket\, Shark\, Extra Large;SOFT-SHELL JACKET\, SHARK\, EXTRA LARGE
400.000000;MR516206012;MODE;EA;0.200;0.200;KG;400.000000;MR516206012;0.00;3100;400.000000;MR516206012;E;Soft-Shell Jacket\, Shark\, Extra Large;SOFT-SHELL JACKET\, SHARK\, EXTRA LARGE
400.000000;MR516206012;MODE;EA;0.200;0.200;KG;400.000000;MR516206012;0.00;3100;400.000000;MR516206012;E;Soft-Shell Jacket\, Shark\, Extra Large;SOFT-SHELL JACKET\, SHARK\, EXTRA LARGE
400.000000;MR516206012;MODE;EA;0.200;0.200;KG;400.000000;MR516206012;0.00;3100;400.000000;MR516206012;E;Soft-Shell Jacket\, Shark\, Extra Large;SOFT-SHELL JACKET\, SHARK\, EXTRA LARGE
400.000000;MR516206012;MODE;EA;0.200;0.200;KG;400.000000;MR516206012;0.00;3100;400.000000;MR516206012;E;Soft-Shell Jacket\, Shark\, Extra Large;SOFT-SHELL JACKET\, SHARK\, EXTRA LARGE
400.000000;MR516206012;MODE;EA;0.200;0.200;KG;400.000000;MR516206012;0.00;3100;400.000000;MR516206012;E;Soft-Shell Jacket\, Shark\, Extra Large;SOFT-SHELL JACKET\, SHARK\, EXTRA LARGE
400.000000;MR516206012;MODE;EA;0.200;0.200;KG;400.000000;MR516206012;0.00;3100;400.000000;MR516206012;E;Soft-Shell Jacket\, Shark\, Extra Large;SOFT-SHELL JACKET\, SHARK\, EXTRA LARGE
400.000000;MR516206012;MODE;EA;0.200;0.200;KG;400.000000;MR516206012;0.00;3100;400.000000;MR516206012;E;Soft-Shell Jacket\, Shark\, Extra Large;SOFT-SHELL JACKET\, SHARK\, EXTRA LARGE
